pair_id,w1,w2,LED
369,18;51;28;1,34;31;1,3
370,16;26;34,16;40;51;28,3
371,16;43;49;29,31;49;44,3
372,16;58;34;1,34;1;24,3
373,34;1;24,46;1;19;24;33,3
374,18;51;28;1,31;58;45;1,3
375,18;51;28;1,46;47;33;1,3
376,18;51;28;1,43;55;18;1,3
377,34;52;41;51,16;48;39;41;51,3
378,16;41;60;34;33,16;58;34;1,3
379,5;41;60;41;51,33;31;51;41;51,3
380,17;38;60;38;1,20;24;60;24;1,3
381,20;49;29;60;40;1,43;49;29;40;28,3
382,16;42;48;44;48;41,34;48;25;44;48;41,3
383,4;16;53;29;49,34;60;40;16;53;29;49,3
384,32;56;40;60;39;38;51,43;40;60;45;38;51,3
385,34;60;40;16;53;29;49,34;60;40;48;1;29;1,3
386,43;60;39;43;46;48;39;1,43;60;39;43;46;60;30,3
387,46;60;43;29;1;29;60;40;38;51,46;60;43;48;29;1;29;60;40;60;39;38;51,3
388,34;33;49,36;1;32;1,4
389,16;26;34,37;48;43;1,4
390,31;48;40;49,37;39;1,4
391,37;43;33;1,38;32;60;39,4
392,16;57;41;29,40;1;18;51,4
393,20;48;40;51,31;55;44;1,4
394,10;38;51;16,46;52;20;33,4
395,34;34;60;34;51,20;48;40;51,4
396,34;60;40;55;38,16;40;51;28,4
397,31;55;44;1,33;31;51;41;51,4
398,17;38;60;38;1,37;48;43;1,4
399,3;24;60;24;51,5;26;60;41;50,4
400,20;48;40;51,20;49;29;60;40;1,4
401,4;41;58;20;33,46;1;19;24;33,4
402,17;38;60;38;1,33;38;52;33;48,4
403,20;24;60;24;1,33;49;39;38;1,4
404,46;38;39;1,46;60;38;53;29;49,4
405,31;58;45;1,41;16;60;45;28;1,4
406,17;40;60;20;51,44;36;60;31;1,4
407,33;31;51;41;51,16;57;1;26;41;51,4
408,47;53;31;39;38;51,38;54;31;26;51,4
409,18;60;40;48;38;1,33;49;39;38;1,4
410,5;41;60;41;51,35;41;49;29;38;51,4
411,16;60;40;38;1,41;16;60;45;60;39;1,4
412,43;48;16;60;39;1,46;52;29;60;40;1,4
413,20;40;60;38;38;51,46;60;43;40;38;51,4
414,20;24;60;24;38;51,20;54;43;51;41;51,4
415,43;40;60;45;38;51,47;53;31;39;38;51,4
416,3;33;51;43;48;31;1,33;49;43;48;40;28,4
417,34;40;49;28;48;38;1,34;60;40;38;48;31;1,4
418,33;16;60;45;29;60;40;1,46;52;29;60;40;1,4
419,46;55;43,18;51;28;38;51,5
420,3;18;60;33;49,33;50;40;51,5
421,3;18;60;33;49,34;52;41;51,5
422,34;31;1,46;1;16;41;33;1,5
423,4;47;48;40;1,40;1;18;51,5
424,18;51;28;1,34;60;40;55;38,5
425,5;26;60;41;50,18;51;28;1,5
426,33;58;40;51,38;51;16;60;16;51,5
427,26;55;24;48,46;47;16;48;40;1,5
428,38;48;34;16;1,40;16;60;45;28,5
429,3;24;60;24;51,4;31;48;39;1,5
430,18;28;49;29;1,46;52;20;49;16,5
431,43;53;31;60;32;49,46;48;32;33,5
432,16;48;42;60;42;51,38;33;46;51,5
433,34;48;41;51,44;48;46;33;46;37,5
434,4;47;48;40;1,38;33;49;45;49,5
435,38;54;31;26;51,43;49;41;51;43,5
436,38;33;49;45;49,38;52;41;60;39;1,5
437,43;48;47;33;1,44;60;40;43;28;1,5
438,37;31;60;40;29,47;53;31;39;38;51,5
439,34;54;42;60;42;49,37;31;60;40;29,5
440,33;49;40;60;28;39;1,33;58;40;51,5
441,4;33;1;31;1,46;47;16;48;40;1,5
442,4;16;48;44;38;51,46;38;48;22;1,5
443,33;31;51;41;51,33;48;28;60;39;29,5
444,44;48;46;33;46;37,44;49;16;60;45,5
445,34;29;60;40;1,40;58;26;60;26;51,5
446,20;54;24;60;24;51,44;16;60;29;49,5
447,18;28;49;29;1,22;60;?;48;33;1,5
448,3;26;43;51;41;51,20;54;24;60;24;51,5
449,46;52;29;60;40;1,46;60;38;53;29;49,5
450,4;20;40;28,4;43;49;45;60;16;40;28,5
451,7;31;60;39;58;18;1,41;16;60;45;28;1,5
452,16;60;45;50;28;29,47;16;60;16;51;41;51,5
453,43;49;41;51;43,43;49;44;60;41;55;45;28,5
454,20;54;43;51;41;51,33;54;41;60;41;52;40;51,5
455,46;38;48;20;48;40;38;51,46;1;31;55;44;38;51,5
456,47;16;60;16;51;41;51,36;48;32;60;39;29;41;51,5
457,38;52;41;60;39;1,46;55;43,6
458,40;58;26;60;26;51,46;52;20;33,6
459,15;45;32;1,16;48;42;60;42;51,6
460,16;26;34,38;51;18;49;1;34;51,6
461,46;1;29;58;45;38;51,46;55;43,6
462,37;39;1,43;60;39;48;17;60;39,6
463,20;24;60;24;38;51,44;49;16;60;45,6
464,43;40;60;45;38;51,46;38;50;34;1,6
465,31;51;2;17;1,47;53;31;39;38;51,6
466,16;48;39;41;51,20;49;29;60;40;1,6
467,34;40;49;38;48;28;1,37;43;33;1,6
468,33;56;29;49;16;29,46;1;17;60;39,6
469,20;24;60;24;38;51,43;48;47;33;1,6
470,16;48;42;60;42;51,35;41;49;29;1,6
471,34;24;60;24;49;16,44;49;16;60;45,6
472,34;60;40;46;1;18;1,37;48;43;1,6
473,34;60;40;55;38,46;1;16;41;33;1,6
474,22;50;43;49;29;1,34;60;40;55;38,6
475,32;56;40;60;39;38;51,44;16;60;29;49,6
476,3;18;60;33;49,43;60;39;1;22;33;1,6
477,16;1;26;40;38;51,36;48;32;60;39;29,6
478,33;53;29;60;39;38;51,44;16;60;29;49,6
479,4;16;48;44;38;51,37;48;45;60;39;1,6
480,34;31;60;32;29;49,46;1;37;48;45;28,6
481,31;52;40;1,34;60;40;39;29;60;33;1,6
482,16;40;51;28,34;60;40;16;60;40;49;39,6
483,43;55;18;1,43;60;39;48;34;48;40;1,6
484,12;16;38;29;60;39;1,46;53;45;60;24;49,6
485,33;49;43;55;31;49;16,34;20;60;20;26;49,6
486,43;60;39;48;16;40;28;1,44;40;50;40;1,6
487,38;48;34;16;1,46;38;48;20;48;40;38;51,6
488,20;49;16;49;29;60;46,46;1;16;41;33;1,6
489,16;48;42;60;42;51,40;48;22;32;48;33;49,6
490,38;51;18;49;1;34;51,47;53;31;39;38;51,6
491,4;16;48;44;38;51,46;38;51;31;60;40;38;51,6
492,36;48;32;60;39;29,41;16;60;45;60;39;38;51,6
493,33;16;60;45;29;60;40;1,34;24;60;24;28;1,6
494,20;40;60;38;38;51,36;49;40;60;39;48;33;50,6
495,46;1;37;48;45;28,46;1;46;60;16;53;29;49,6
496,43;60;39;48;39;48;38;1,46;60;43;40;38;51,6
497,34;51;40;58;18;29;49,40;48;22;32;48;33;49,6
498,32;56;40;60;39;38;51,34;60;40;16;60;40;49;39,6
499,34;51;46;60;29;16;38;51,36;48;32;60;39;29;41;51,6
500,46;48;1;46;60;16;53;29;49;16;29,46;60;38;53;29;49,6
501,3;1;29;40;60;22;48;29;50;39;38;51,40;48;22;16;50;39;38;51,6
502,18;60;40;1;30;48;41;39;38;51,34;60;40;37;51;29;60;43;38;51,6
503,18;60;40;1;30;48;41;39;38;51,46;1;34;60;40;31;48;39;38;51,6
504,16;26;34,41;16;60;45;60;39;38;51,7
505,16;57;41;29,34;60;40;46;1;18;1,7
506,20;41;33;1,34;60;40;16;53;29;49,7
507,20;41;33;1,43;55;31;49;16;46;37,7
508,34;60;40;31;40;60;44;33,37;48;43;33,7
509,31;51;2;17;1,43;49;32;48;33;38;51,7
510,33;38;52;33;48,46;1;31;55;44;38;51,7
511,34;51;46;60;29;16;38;51,46;48;32;33,7
512,29;40;60;16;1,46;47;33;44;50;41;29,7
513,34;60;40;48;1;29;1,46;1;17;60;39,7
514,34;40;49;43;40;60;29;33;1,40;20;33,7
515,3;24;60;24;51,7;29;60;34;29;60;29;49,7
516,43;55;31;49;16;46;37,44;60;40;43;28;1,7
517,35;41;49;29;1,43;60;39;43;46;48;39;1,7
518,17;40;60;20;51,33;56;34;51;28;60;39;1,7
519,3;24;60;24;51,34;60;40;43;40;60;29;33,7
520,4;44;60;20;40;60;39;1,43;49;29;40;28,7
521,34;60;40;16;60;40;49;39,47;41;60;43;48,7
522,38;51;18;49;1;34;51,46;60;30;48;33;1,7
523,34;48;41;51,34;60;40;39;58;18;44;48;41,7
524,7;29;60;34;29;60;29;49,44;36;60;31;1,7
525,3;33;51;43;48;31;1,34;60;40;29;50;16,7
526,20;49;16;49;29;60;46,33;50;42;60;42;51,7
527,16;60;40;38;1,36;49;40;60;39;48;33;50,7
528,34;24;38;48;34;16;1,36;48;32;60;39;29,7
529,33;57;34;60;34;49,47;16;60;16;51;41;51,7
530,33;49;39;38;1,46;38;51;31;60;40;38;51,7
531,4;16;48;44;38;51,34;60;40;38;48;28;1,7
532,33;56;29;49;16;29,43;60;39;43;46;60;30,7
533,33;31;51;41;51,46;38;48;33;29;60;43;1,7
534,46;38;48;20;48;40;38;51,22;60;?;48;33;1,7
535,38;52;41;60;39;1,43;49;44;60;41;55;45;28,7
536,33;49;43;55;31;49;16,34;60;40;38;48;31;1,7
537,36;48;32;60;39;29;41;51,46;1;16;55;29;1,7
538,33;56;29;49;16;29,34;51;46;60;29;16;38;51,7
539,3;16;60;45;40;1,4;20;40;49;1;20;26;1,7
540,7;31;48;47;40;28,33;54;41;60;41;52;40;51,7
541,38;48;29;53;37;48;45,43;55;31;49;16;46;37,7
542,33;56;34;51;28;60;39;1,46;47;16;48;40;1,7
543,34;51;46;60;29;16;38;51,44;48;46;33;46;37,7
544,40;55;26;49;39;58,43;60;39;48;39;48;38;1,7
545,4;20;40;49;1;20;26;1,43;40;60;45;38;51,7
546,33;54;41;60;41;52;40;51,46;47;16;48;40;1,7
547,31;60;43;55;45;1,33;48;39;16;29;60;43;1,7
548,43;60;39;48;39;48;38;1,46;1;31;55;44;38;51,7
549,46;47;16;48;40;1,46;48;38;40;60;30;60;39;1,7
550,34;40;49;44;58;32;33;38;51,44;48;46;33;46;37,7
551,33;49;40;60;28;39;38;51,34;40;49;44;50;41;33,7
552,34;20;60;20;26;49,34;40;49;45;60;16;48;40;1,7
553,16;51;24;51;1;36;38;51,38;49;29;60;40;51;26;51,7
554,18;59;40;43;49;1;20;26;1,34;40;49;44;58;32;33,7
555,3;1;18;50;16;48;40;1,33;56;34;51;28;60;39;1,7
556,46;48;1;16;55;29;49;16;29,46;60;43;55;20;60;21,7
557,3;37;60;39;40;60;30;33,46;48;47;49;29;60;39;1,7
558,43;1;24;49;41;60;41;51,43;60;39;48;16;40;28;1,7
559,4;16;48;40;38;51,18;60;40;1;30;48;41;39;38;51,7
560,34;60;40;39;58;18;44;48;41,43;60;39;43;47;48;40;1,7
561,16;1;34;60;39;52;24;40;60,41;16;60;45;60;39;38;51,7
562,31;52;40;31;40;60;44;49;33;49,40;48;22;32;48;33;49,7
563,3;29;49;43;53;45;60;24;49,3;37;60;39;40;60;30;33,7
564,46;1;31;40;60;44;16;51;41;51,46;40;49;47;31;60;31;51,7
565,34;40;60;39;48;43;40;28;38;51,46;38;51;31;60;40;38;51,7
566,43;1;24;49;41;60;41;51,46;1;31;40;60;44;16;51;41;51,7
567,3;33;1;29;34;51;40;38;51,34;40;60;39;48;43;40;28;38;51,7
568,31;49;44,34;60;40;39;29;60;33;1,8
569,34;51;46;60;29;16;38;51,37;39;1,8
570,4;43;49;45;60;16;40;28,16;57;41;29,8
571,26;55;24;48,34;60;40;31;40;60;44;33,8
572,31;55;44;1,36;49;40;60;39;48;33;50,8
573,43;60;39;43;47;48;40;1,44;16;60;29;49,8
574,4;40;1;37;1,46;1;46;60;16;53;29;49,8
575,3;33;1;29;34;51;40;38;51,16;57;41;29,8
576,4;41;58;20;33,43;60;39;48;34;48;40;1,8
577,33;58;40;51,46;1;34;60;40;31;48;39;1,8
578,43;60;39;43;46;48;39;1,46;52;20;49;16,8
579,38;33;46;51,46;48;38;40;60;30;60;39;1,8
580,3;33;1;29;34;51;40;38;51,36;1;32;1,8
581,3;29;49;43;53;45;60;24;49,43;49;29;40;28,8
582,44;60;40;43;28;1,46;40;49;47;31;60;31;51,8
583,4;46;51;34;29;60;40;49,43;60;39;48;46;1,8
584,38;54;31;26;51,46;1;46;60;16;40;28;41;51,8
585,36;49;40;60;39;48;33;50,46;1;16;55;29;1,8
586,16;51;24;51;1;36;38;51,20;40;49;29;60;40,8
587,3;31;60;37;51;29;38;56;33,33;48;28;60;39;29,8
588,4;41;58;20;33,20;41;33;20;49;29;60;40;38;51,8
589,33;48;39;16;29;60;43;1,43;49;43;55;16;38;51,8
590,40;48;22;32;48;33;49,46;38;51;31;60;40;38;51,8
591,43;60;39;48;46;1,46;1;46;60;16;40;28;41;51,8
592,34;40;60;39;48;43;40;28;1,36;48;32;60;39;29,8
593,40;48;45;60;24;60;40;1,46;47;33;44;50;41;29,8
594,4;40;1;37;1,18;60;40;1;30;48;41;39;38;51,8
595,3;37;60;39;40;60;30;33,29;49;40;51;34;29;49,8
596,3;16;60;45;40;1,46;48;1;16;55;29;49;16;29,8
597,29;40;60;16;1,40;55;17;48;20;49;29;60;40;1,8
598,38;48;34;16;1,46;53;22;33;48;29;60;38;16;29,8
599,34;60;40;29;49;34;48;31;33,40;58;26;60;26;51,8
600,7;29;60;34;29;60;29;49,46;1;29;58;45;38;51,8
601,4;31;48;39;1,34;60;40;44;1;46;33;50;39;1,8
602,31;52;40;31;40;60;44;49;33;49,40;16;60;45;28,8
603,43;55;31;49;16;46;37,46;38;48;20;48;40;38;51,8
604,20;24;60;24;38;51,34;40;60;39;48;43;40;28;1,8
605,31;52;40;31;40;60;44;49;33;49,40;55;26;49;39;58,8
606,46;53;45;60;24;49,46;60;43;29;1;29;60;40;38;51,8
607,33;49;40;60;28;39;1,43;60;39;48;16;40;28;38;51,8
608,4;43;49;45;60;16;40;28,46;38;48;33;29;60;43;1,8
609,34;60;40;39;58;18;44;48;41,46;1;31;55;44;38;51,8
610,17;40;60;20;51,43;49;38;40;60;44;49;1;20;26;1,8
611,46;60;43;29;1;29;60;40;38;51,47;53;31;39;38;51,8
612,34;60;40;39;58;18;1,46;1;46;60;16;40;28;41;51,8
613,34;51;46;60;29;16;38;51,43;60;39;48;16;40;28;1,8
614,33;48;39;16;29;60;43;1,34;60;40;39;58;18;44;48;41,8
615,43;60;39;48;34;48;40;1,46;60;43;29;1;29;60;40;38;51,8
616,7;29;60;34;29;60;29;49,38;47;58;33;60;33;29;38;56;33,8
617,34;60;40;29;49;36;49;1;36;1,46;1;34;60;40;31;48;39;1,8
618,34;60;40;39;48;28;1,34;60;40;39;58;22;33;16;40;38;56;33,8
619,38;49;29;60;40;51;26;51,43;49;38;40;60;44;49;1;20;26;1,8
620,33;49;40;51;29;60;46;48;47;1,34;24;1,9
621,3;37;49;43;53;31;60;32;49,20;48;40;51,9
622,33;49;22;48;38;48;36;48;31;60,37;48;45,9
623,34;31;1,43;60;39;48;17;60;39;48;33;1,9
624,43;60;39;48;16;40;28;38;51,46;38;46;60;39,9
625,40;56;29;51,46;53;22;33;48;29;60;38;16;29,9
626,22;50;43;33;43;49;32;48;33;1,26;55;24;48,9
627,18;60;40;1;30;48;41;39;1,44;49;16;60;45,9
628,18;51;28;38;51,46;1;34;60;40;31;48;39;1,9
629,31;52;40;31;40;60;44;49;33;49,34;25;33;1,9
630,34;60;40;37;51;29;60;43;38;51,38;33;46;51,9
631,17;40;60;20;51,22;48;29;50;39;46;1;34;31,9
632,4;31;40;60;44;43;1;29;38;56;33,40;20;33,9
633,4;41;58;20;49;1;20;26;1,40;16;60;45;28,9
634,31;55;44;1,33;49;40;60;38;49;1;20;26;1,9
635,5;41;60;41;51,33;49;40;60;38;49;1;20;26;1,9
636,20;54;24;60;24;51,22;48;29;50;39;46;1;34;31,9
637,40;55;17;48;20;49;29;60;40;1,44;16;60;29;49,9
638,33;49;40;60;38;49;1;20;26;1,41;55;17;33;1,9
639,34;60;40;29;49;36;49;1;36;1,38;48;34;16;1,9
640,4;41;58;20;49;1;20;26;1,33;50;42;60;42;51,9
641,3;18;60;33;49,46;1;34;60;40;31;48;39;38;51,9
642,33;57;34;60;34;49,43;60;39;48;16;40;28;38;51,9
643,31;51;2;17;1,46;1;34;60;40;31;48;39;38;51,9
644,22;50;43;49;29;1,43;60;39;48;17;60;39;48;33;1,9
645,3;33;60;43;55;45;49;1;20;26;1,34;29;60;40;1,9
646,3;29;49;43;53;45;60;24;49,34;60;40;48;1;29;1,9
647,3;33;51;43;48;31;1,46;1;46;60;16;40;28;41;51,9
648,33;49;40;60;28;39;1,46;48;1;16;55;29;49;16;29,9
649,43;49;38;40;60;44;49;1;20;26;1,44;36;60;31;1,9
650,3;33;1;29;34;51;40;38;51,46;47;33;44;50;41;29,9
651,18;59;40;43;49;1;20;26;1,46;1;29;58;45;38;51,9
652,33;50;24;49;34;48;40;51;31;41,43;40;60;45;38;51,9
653,34;60;40;29;49;34;48;31;33,43;49;43;55;16;38;51,9
654,16;1;34;60;39;52;24;40;60,38;48;29;53;37;48;45,9
655,34;40;60;39;48;43;40;28;1,43;49;43;55;16;38;51,9
656,29;49;40;51;34;29;49,46;1;34;60;40;31;48;39;38;51,9
657,3;29;49;43;53;45;60;24;49,40;48;22;16;50;39;38;51,9
658,34;60;40;39;58;18;1,38;47;58;33;60;33;29;38;56;33,9
659,38;47;58;29;60;16;53;45;60;24;1,43;49;43;55;16;1,9
660,38;51;16;60;16;51,43;49;44;60;43;1;37;40;51;26;51,9
661,33;50;24;49;34;48;40;51;31;41,46;1;29;58;45;38;51,9
662,22;48;29;50;39;46;1;34;31,34;60;40;31;40;60;44;33,9
663,33;49;40;60;38;49;1;20;26;1,43;1;24;49;41;60;41;51,9
664,33;49;40;60;38;48;28;1,40;55;17;48;20;49;29;60;40;1,9
665,3;18;38;60;39;18;58;20;40;1,38;48;40;60;16;54;24;60,9
666,40;48;45;60;24;60;40;1,46;1;31;40;60;44;16;51;41;51,9
667,7;31;60;39;58;18;1,44;60;40;31;60;32;48;1;22;41;49,9
668,3;1;18;50;16;48;40;1,18;60;40;1;30;48;41;39;38;51,9
669,33;50;24;49;34;48;40;51;31;41,34;60;40;39;58;18;44;48;41,9
670,33;49;40;60;38;48;28;1,46;40;60;43;48;32;49;16;48;40;49,9
671,38;47;58;33;60;33;29;38;56;33,46;48;38;40;60;30;60;39;1,9
672,7;29;60;34;29;60;29;49,16;48;40;60;39;16;60;40;38;38;51,9
673,43;60;39;16;60;29;49;29;60;43;1,46;1;46;60;16;53;29;49,9
674,20;49;40;46;60;38;40;28;50;39;1,46;38;48;33;29;60;43;1,9
675,34;40;60;39;48;43;40;28;1,38;47;58;29;60;16;53;45;60;24;1,9
676,3;46;48;32;48;40;28;38;56;33,43;49;44;48;17;34;24;60;33;1,9
677,33;49;40;51;29;60;46;48;47;1,40;55;17;48;20;49;29;60;40;1,9
678,46;1;29;53;34;60;29;49;16;40;38;56;33,46;1;34;60;40;31;48;39;1,9
679,43;48;40;60;29;48;34;29;60;40;49;16,46;48;1;46;60;16;53;29;49;16;29,9
680,3;18;38;60;39;18;58;20;40;1,34;52;41;51,10
681,43;55;18;1,46;1;34;60;40;31;48;39;38;51,10
682,34;40;49;44;50;41;49;1;20;26;1,34;58;45;28,10
683,16;57;41;29,46;1;19;24;33;48;29;60;38;16;29,10
684,37;48;43;33,46;48;1;46;60;16;53;29;49;16;29,10
685,4;40;1;37;1,33;49;22;48;38;48;36;48;31;60,10
686,16;60;40;38;1,46;40;60;43;48;32;49;16;48;40;49,10
687,16;60;45;50;28;29,22;50;43;33;43;49;32;48;33;1,10
688,4;31;48;39;1,16;48;40;60;39;16;60;40;38;38;51,10
689,3;43;46;40;1,34;40;49;44;50;41;49;1;20;26;1,10
690,20;40;60;38;38;51,43;49;44;48;17;34;24;60;33;1,10
691,43;60;39;1;22;33;1,46;53;22;33;48;29;60;38;16;29,10
692,4;31;40;60;44;43;1;29;38;56;33,46;53;45;60;24;49,10
693,7;34;48;32;60;39;48;39;51;26;51,46;52;29;60;40;1,10
694,38;48;34;16;1,43;48;40;60;29;48;34;29;60;40;49;16,10
695,4;31;40;60;44;43;1;29;38;56;33,40;58;26;60;26;51,10
696,43;49;44;48;17;34;24;60;33;1,46;38;51;31;60;40;38;51,10
697,12;16;38;29;60;39;1,34;60;40;39;48;28;49;1;20;26;1,10
698,33;49;43;48;40;28,43;48;40;60;29;48;34;29;60;40;49;16,10
699,32;56;40;60;39;38;51,43;60;39;16;60;29;49;29;60;43;1,10
700,12;16;38;29;60;39;1,34;40;49;44;50;41;49;1;20;26;1,10
701,34;29;60;40;1,46;60;43;48;29;1;29;60;40;60;39;38;51,10
702,46;1;16;41;33;1,46;40;60;43;44;60;40;55;45;60;25;1,10
703,3;31;60;37;51;29;38;56;33,33;50;24;49;34;48;40;51;31;41,10
704,34;60;40;16;53;29;49,46;1;29;53;34;60;29;49;16;40;38;56;33,10
705,20;49;40;46;60;38;40;28;50;39;1,34;60;40;39;58;18;44;48;41,10
706,4;41;58;20;49;1;20;26;1,44;60;40;31;60;32;48;1;22;41;49,10
707,39;1;29;60;40;38;51,43;49;34;60;41;43;58;31;60;39;38;38;51,10
708,40;48;22;32;48;33;49,40;48;22;38;47;55;1;31;60;40;43;40;1,10
709,38;49;29;60;40;51;26;51,46;40;60;43;44;60;40;55;45;60;25;1,10
710,3;46;48;32;48;40;28;38;56;33,34;60;40;39;48;28;49;1;20;26;1,10
711,18;60;40;1;30;48;41;39;1,46;60;43;48;29;1;29;60;40;60;39;38;51,10
712,43;49;34;60;41;43;58;31;60;39;38;38;51,43;49;44;48;17;34;24;60;33;1,10
713,4;31;40;60;44;43;1;29;38;56;33,46;40;60;43;44;60;40;55;45;60;25;1,10
714,46;48;1;46;60;16;53;29;49;16;29,46;60;43;48;29;1;29;60;40;60;39;38;51,10
715,16;48;40;60;39;16;60;40;38;38;51,46;55;43,11
716,16;48;40;60;39;16;60;40;38;38;51,31;58;45;1,11
717,4;31;40;60;44;43;1;29;38;56;33,26;55;24;48,11
718,7;34;48;32;60;39;48;39;51;26;51,41;55;17;33;1,11
719,40;20;33,46;1;29;53;34;60;29;49;16;40;38;56;33,11
720,20;24;60;24;1,43;48;40;60;29;48;34;29;60;40;49;16,11
721,3;26;43;51;41;51,20;49;40;46;60;38;40;28;50;39;1,11
722,3;33;60;43;55;45;49;1;20;26;1,44;48;46;33;46;37,11
723,43;48;40;60;29;48;34;29;60;40;49;16,40;55;26;49;39;58,11
724,3;24;60;24;51,43;49;34;60;41;43;58;31;60;39;38;38;51,11
725,3;1;29;40;60;22;48;29;50;39;38;51,44;60;40;43;28;1,11
726,3;33;51;37;43;1,34;60;40;39;58;22;33;16;40;38;56;33,11
727,36;48;32;60;39;29;48;39;51;29;38;56;33,46;1;17;60;39,11
728,7;34;48;32;60;39;48;39;51;26;51,20;49;16;49;29;60;46,11
729,43;48;40;60;29;48;34;29;60;40;49;16,44;60;40;43;28;1,11
730,44;48;46;33;46;37,16;48;40;60;39;33;49;40;60;43;48;47;16,11
731,3;37;49;43;53;31;60;32;49;20;55;39;26;1,4;31;48;39;1,11
732,34;60;40;34;1;20;1,40;48;22;38;47;55;1;31;60;40;43;40;1,11
733,34;60;40;39;48;28;1,44;46;60;29;60;40;20;49;16;49;29;60;46,11
734,3;37;49;43;53;31;60;32;49;20;55;39;26;1,43;60;39;48;32;49,11
735,20;49;40;46;60;38;40;28;50;39;1,22;48;29;50;39;46;1;34;31,11
736,33;50;24;49;34;48;40;51;31;41,43;60;39;16;60;29;49;29;60;43;1,11
737,3;1;29;40;60;22;48;29;50;39;38;51,3;37;49;43;53;31;60;32;49,11
738,16;48;40;60;39;33;49;40;60;43;48;47;16,34;40;49;44;58;32;33;38;51,11
739,16;48;40;60;39;33;49;40;60;43;48;47;16,22;48;29;50;39;46;1;34;31,11
740,20;41;33;20;49;29;60;40;38;51,40;48;22;38;47;55;1;31;60;40;43;40;1,11
741,43;49;34;60;41;43;58;31;60;39;38;38;51,46;40;60;43;48;32;49;16;48;40;49,11
742,31;55;44;1,34;60;40;39;58;22;33;16;40;38;56;33,12
743,40;52;34;1,44;46;60;29;60;40;20;49;16;49;29;60;46,12
744,3;37;49;43;53;31;60;32;49;20;55;39;26;1,31;49;44,12
745,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,41;49;34;49,12
746,3;37;49;43;53;31;60;32;49;20;55;39;26;1,34;24;60;24;49;16,12
747,3;37;49;43;53;31;60;32;49;20;55;39;26;1,46;1;36;1;32;1,12
748,36;48;32;60;39;29;48;39;51;29;38;56;33,46;60;43;55;20;60;21,12
749,44;46;60;29;60;40;20;49;16;49;29;60;46,34;40;49;44;58;32;33;38;51,12
750,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,34;60;40;16;53;29;49,12
751,18;60;40;1;30;48;41;39;1,36;48;32;60;39;29;48;39;51;29;38;56;33,12
752,40;48;22;38;47;55;1;31;60;40;43;40;1,44;60;40;50;16;48;16;51;42;1,12
753,16;48;40;60;39;33;49;40;60;43;48;47;16,34;52;41;51,13
754,36;48;32;60;39;29;48;39;51;29;38;56;33,38;33;49;45;49,13
755,36;48;32;60;39;29;48;39;51;29;38;56;33,41;55;17;33;1,13
756,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,33;50;42;60;42;51,13
757,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,33;56;34;51;28;60;39;1,13
758,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,46;48;1;46;60;16;53;29;49;16;29,13
759,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,46;38;46;60;39,14
760,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,22;50;43;49;29;1,14
